CANMOREID,NMRSNAME,ALTNAME,SITETYPE,COUNTY,COUNCIL,PARISH,ACCURACY,URL,LINK,XCOORD,YCOORD,archaeology,EX,EV,WB,EXC_19C,EXC_1900_1950,EXC_1951_1999,EXC_post2000,NOTES,REFS
4489,BRAE OF ACHNAHAIRD,,DUN (PREHISTORIC),ROSS AND CROMARTY,HIGHLAND,LOCHBROOM,NGR given to the nearest 10m,https://canmore.org.uk/site/4489/,https://canmore.org.uk/site/4489/,201700,913800,['dug'],0,0,0,,,,,,
4528,"AN DUN, DREINACH","STRATH CANAIRD, RIVER KANAIRD",DUN (PERIOD UNASSIGNED),ROSS AND CROMARTY,HIGHLAND,LOCHBROOM,NGR given to the nearest 10m,https://canmore.org.uk/site/4528/,https://canmore.org.uk/site/4528/,216530,901960,['excavation'],0,0,0,,,,,,
4416,"LEWIS, DUN OTHAIL","STACK PROJECT, LEWIS","BUILDING(S) (PERIOD UNKNOWN), CHAPEL (MEDIEVAL)(POSSIBLE), DUN (PREHISTORIC)(POSSIBLE)",ROSS AND CROMARTY,WESTERN ISLES,BARVAS,NGR given to the nearest 10m,https://canmore.org.uk/site/4416/,https://canmore.org.uk/site/4416/,154250,951490,['evaluation'],0,0,0,,,,,,
4292,"LEWIS, LOCH CROMORE, DUN CROMORE",,"BROCH (IRON AGE)(POSSIBLE), CAUSEWAY (IRON AGE), GALLERIED DUN (IRON AGE)",ROSS AND CROMARTY,WESTERN ISLES,LOCHS,NGR given to the nearest 1m,https://canmore.org.uk/site/4292/,https://canmore.org.uk/site/4292/,140123,920699,"['excavation', 'excavated']",0,0,0,,,,,,
4812,LOCH BORRALIE,,DUN (PERIOD UNASSIGNED)(POSSIBLE),SUTHERLAND,HIGHLAND,DURNESS,NGR given to the nearest 10m,https://canmore.org.uk/site/4812/,https://canmore.org.uk/site/4812/,238400,967530,"['excavation', 'evaluation']",0,0,0,,,,,Excavation of cairn but not of dun,
10256,"NORTH UIST, CLACHAN, LOCH NAN STRUBAN",,"CAUSEWAY (PREHISTORIC), DUN (PREHISTORIC)(POSSIBLE)",INVERNESS-SHIRE,WESTERN ISLES,NORTH UIST,NGR given to the nearest 10m,https://canmore.org.uk/site/10256/,https://canmore.org.uk/site/10256/,80750,864500,['evaluation'],0,0,0,,,,,,
10128,"NORTH UIST, DUN SCARIE",SCARAIDH,"BUILDING(S) (MEDIEVAL), CAUSEWAY (PREHISTORIC), DUN (PREHISTORIC)",INVERNESS-SHIRE,WESTERN ISLES,NORTH UIST,NGR given to the nearest 1m,https://canmore.org.uk/site/10128/,https://canmore.org.uk/site/10128/,71780,870559,['trenches'],0,0,0,,,,,Robber trenches,
10259,"NORTH UIST, LOCH CARAVAT, EILEAN DUBH DUN SCOR",,"CAUSEWAY(S) (PREHISTORIC), DUN (PREHISTORIC), SHIELING HUT (POST MEDIEVAL)",INVERNESS-SHIRE,WESTERN ISLES,NORTH UIST,NGR given to the nearest 10m,https://canmore.org.uk/site/10259/,https://canmore.org.uk/site/10259/,84300,862020,"['excavation', 'evaluation']",0,1,0,,,,,Archaeological Evaluation (January 2021 - October 2021),"Newman, D.ˇ(2022)ˇNorth Uist shieling surveys, Field survey and evaluation, in Jennifer Thoms, Discovery Excav Scot, New, vol. 22, 2021. Cathedral Communications Limited, Wiltshire, England. Page(s): 179-180"
10261,"NORTH UIST, CARINISH, LOCH CARAVAT, DUN BAN",,DUN (MEDIEVAL),INVERNESS-SHIRE,WESTERN ISLES,NORTH UIST,NGR given to the nearest 10m,https://canmore.org.uk/site/10261/,https://canmore.org.uk/site/10261/,84290,860880,['evaluation'],0,0,0,,,,,,
10281,"NORTH UIST, LOCH AN IASGAICH",,DUN (PREHISTORIC)(POSSIBLE),INVERNESS-SHIRE,WESTERN ISLES,NORTH UIST,NGR given to the nearest 1km,https://canmore.org.uk/site/10281/,https://canmore.org.uk/site/10281/,82000,862000,None,0,0,0,,,,,,
